id;name;year_published;min_players;max_players;playingtime;min_age;users_rated;average_rating;rating_stddev;num_owned;num_trading;num_wanting;num_wishing;num_comments;num_players_best;num_players_rec;num_players_notrec;suggested_age;categories;mechanics;boardgamefamilies;implementation_of;designers;artists;publishers;historicalJun;historicalJul;historicalAug;historicalSep;hostoricalOct;
3627;Chaostle;2011;2;8;120;10;179;6.4838;2.05599;339;21;42;150;80;1:1,2:2,3:1,4:2,5:0,6:1,7:0,8:0,-1:1;1:0,2:1,3:2,4:3,5:1,6:1,7:1,8:1,-1:0;1:1,2:2,3:1,4:1,5:1,6:1,7:1,8:1,-1:0;2:0,3:0,4:0,5:0,6:0,8:3,10:1,12:0,14:0,16:0,18:0,-1:0;1010,1035,1047;2018,2072,2011,2028,2035,2015;;;4689;50468,14347;832;3,7.33333,Not Ranked,6,9,20;10,7.25,Not Ranked,24,9,26;32,7.05312,5522,62,38,129;49,7.13265,4694,97,42,141;67,7.00746,4334,118,40,161;
5188;Murder Mystery Evening: Death in the Ring;2007;6;6;120;16;0;0;0;7;1;1;2;0;;;;;1039,1040,1030;2028;11573;;3;;1199;0,0,Not Ranked,1,2,1;0,0,Not Ranked,1,2,1;0,0,Not Ranked,1,2,1;0,0,Not Ranked,1,2,1;0,0,Not Ranked,1,1,2;
7571;Winds Of Plunder;2007;3;5;120;10;655;6.492;1.42074;848;80;42;150;311;1:0,2:1,3:0,4:8,5:9,-1:0;1:0,2:0,3:6,4:2,5:4,-1:0;1:7,2:7,3:1,4:0,5:0,-1:5;2:0,3:0,4:0,5:0,6:0,8:0,10:1,12:1,14:0,16:0,18:0,-1:0;1090;2001,2012,2017;;;205;11322,6548,71,140;52;118,7.00754,715,170,69,186;192,6.85901,652,247,64,182;231,6.80879,620,271,65,183;247,6.81793,619,292,67,180;267,6.78925,619,309,66,184;
10229;Mannerheim's Cross: Finland at War 1939-1945;2006;1;2;180;12;21;8.29524;0.983423;76;0;17;25;15;;;;;1019,1049;2072,2026,2016,2070;112,10316;;2248,1592;;928;0,0,Not Ranked,3,5,1;0,0,Not Ranked,3,5,1;3,9,Not Ranked,8,5,2;5,9,Not Ranked,14,6,2;8,9.125,Not Ranked,21,5,2;
10244;Berlin: Red Victory;2006;2;2;180;12;67;7.97072;1.84134;156;5;18;38;36;1:0,2:2,-1:0;1:2,2:0,-1:1;1:1,2:1,-1:2;2:1,3:0,4:0,5:0,6:0,8:0,10:0,12:1,14:0,16:1,18:0,-1:0;1019;;112,18214,10643;;2248,1592;;928;4,8.75,Not Ranked,16,5,6;4,8.75,Not Ranked,16,5,6;11,9.04545,Not Ranked,23,3,7;11,9.04545,Not Ranked,26,3,9;11,9.04545,Not Ranked,26,3,9;
10909;Trail of the Brotherhood;2011;2;4;30;10;0;0;0;2;0;27;65;3;;;;;1023,1002,1039,1024,1093;2019;5141;;4819;;772;0,0,Not Ranked,2,13,46;0,0,Not Ranked,2,15,47;0,0,Not Ranked,2,15,48;0,0,Not Ranked,2,18,52;0,0,Not Ranked,2,19,54;
11293;Algeria: The War of Independence 1954-1962;2006;2;2;150;12;33;6.99394;1.77217;155;12;14;38;34;1:0,2:1,-1:0;1:0,2:0,-1:0;1:1,2:0,-1:1;2:0,3:0,4:0,5:0,6:0,8:0,10:0,12:0,14:0,16:0,18:0,-1:0;1019;2046;;;1678;1124,14632,15291,17864;2537,931;1,7.5,Not Ranked,20,2,3;1,7.5,Not Ranked,21,2,3;2,6.25,Not Ranked,21,3,5;2,6.25,Not Ranked,24,2,5;2,6.25,Not Ranked,24,2,6;
11327;Zulu!;2007;2;2;90;12;4;7;1.27475;17;1;2;9;5;;;;;1019;2046;;;135;;2521;3,5.5,Not Ranked,5,2,3;3,5.5,Not Ranked,5,2,3;3,5.5,Not Ranked,5,3,3;3,5.5,Not Ranked,5,3,3;3,5.5,Not Ranked,5,3,3;
11949;Shifting Sands;2006;2;2;240;12;466;7.30017;1.63377;880;26;99;196;240;1:0,2:16,-1:0;1:2,2:0,-1:0;1:11,2:1,-1:11;2:1,3:0,4:0,5:0,6:0,8:0,10:0,12:0,14:3,16:1,18:0,-1:0;1019,1049;2018,2040,2078;;;2269;406,5128;196;1,7,Not Ranked,5,25,30;1,7,Not Ranked,6,25,33;16,7.89062,Not Ranked,46,32,40;31,8.25806,878,91,37,56;48,8.23438,511,118,41,67;
12049;Wintergewitter;2007;1;2;300;12;32;6.45312;1.75606;170;7;11;16;25;1:0,2:0,-1:0;1:0,2:0,-1:0;1:0,2:0,-1:0;;1019,1049;2072,2026,2070;134;;1254;11882;1244,1243;0,0,Not Ranked,2,10,8;1,3,Not Ranked,19,8,5;5,5.4,Not Ranked,27,6,4;5,5.4,Not Ranked,30,6,4;5,5.4,Not Ranked,33,5,5;
12054;Oosterbeek Perimeter;2006;1;2;300;12;30;8.37;1.27283;113;5;9;12;20;;;;;1019,1049;2072,2026,2070;112;146215;2248,1592;;928;0,0,Not Ranked,1,3,2;0,0,Not Ranked,1,3,1;0,0,Not Ranked,1,3,1;0,0,Not Ranked,1,3,5;0,0,Not Ranked,2,3,4;
13224;The Conquerors: Alexander the Great;2006;1;2;240;12;130;6.09077;1.58064;513;29;9;41;92;1:0,2:1,-1:0;1:1,2:0,-1:0;1:0,2:0,-1:0;2:0,3:0,4:0,5:0,6:0,8:0,10:0,12:1,14:0,16:0,18:0,-1:0;1050,1019;2072,2078,2015;10640;;135;11322,6548,71,11856,140;52;0,0,Not Ranked,4,8,14;0,0,Not Ranked,4,8,14;0,0,Not Ranked,4,9,15;0,0,Not Ranked,4,9,15;0,0,Not Ranked,27,8,17;
13284;Cowpoker;2006;2;4;30;10;216;5.55477;1.43798;454;39;2;12;73;1:0,2:1,3:0,4:2,-1:0;1:0,2:2,3:2,4:1,-1:0;1:4,2:1,3:2,4:1,-1:3;2:0,3:0,4:0,5:0,6:0,8:1,10:0,12:0,14:0,16:0,18:0,-1:0;1055,1002,1079;2009;9313;;61,604;12158,12007;39,19;1,3,Not Ranked,0,2,1;1,3,Not Ranked,0,2,2;11,5.22727,Not Ranked,14,3,3;19,5.5,Not Ranked,26,2,4;26,5.51923,Not Ranked,31,2,4;
13286;Gloria Mundi;2006;2;6;60;10;944;6.14664;1.58615;1167;137;25;147;411;1:0,2:5,3:6,4:6,5:1,6:3,-1:0;1:0,2:10,3:10,4:9,5:5,6:1,-1:0;1:15,2:5,3:3,4:3,5:12,6:15,-1:13;2:0,3:0,4:0,5:0,6:1,8:1,10:0,12:1,14:0,16:0,18:0,-1:0;1050,1031;2040;22783,5606;;61,604;11883;29,3;3,7.66667,Not Ranked,1,47,101;3,7.66667,Not Ranked,1,50,115;3,7.66667,Not Ranked,1,54,124;3,7.66667,Not Ranked,1,55,136;6,7.33333,Not Ranked,11,59,160;
13338;A Play On Words;2006;2;2;30;0;0;0;0;2;1;0;0;0;;;;;1025;2072;;;3;;299;0,0,Not Ranked,1,0,0;0,0,Not Ranked,1,0,0;0,0,Not Ranked,1,0,0;0,0,Not Ranked,1,0,0;0,0,Not Ranked,1,0,0;
13428;Highlander;2006;1;2;180;12;5;6.8;0.748331;30;0;3;4;7;1:0,2:0,-1:0;1:0,2:0,-1:0;1:0,2:0,-1:0;;2726,1019;2072,2026;14759,13105;;135;;1011,3163;2,6,Not Ranked,5,1,2;2,6,Not Ranked,5,1,2;2,6,Not Ranked,5,1,2;2,6,Not Ranked,6,1,2;2,6,Not Ranked,6,1,2;
13456;Vampire: Prince of the City;2006;2;5;180;12;480;6.46292;1.61379;771;52;28;117;170;1:0,2:0,3:1,4:3,5:12,-1:1;1:0,2:1,3:4,4:7,5:3,-1:1;1:6,2:8,3:8,4:4,5:1,-1:4;2:0,3:0,4:0,5:0,6:0,8:0,10:0,12:2,14:1,16:0,18:0,-1:0;1023,1024,1047,1026,1001;2019,2028,2008,2015;7757,6428;;4208;13947,12030,12031,12032;464;46,6.61957,1794,64,21,41;49,6.59592,1773,68,21,44;53,6.58019,1791,73,20,45;58,6.59052,1722,79,17,44;64,6.62109,1708,87,17,46;
13498;Epic of the Peloponnesian War;2006;2;4;300;12;75;5.96067;2.10949;272;18;22;61;51;1:0,2:0,3:0,4:0,-1:0;1:0,2:0,3:0,4:0,-1:0;1:0,2:0,3:0,4:0,-1:0;;1050,1019;2046,2026,2070;18614,24921,10640;;1876,1875;23441;94;0,0,Not Ranked,1,16,29;1,6,Not Ranked,18,15,25;6,5.66667,Not Ranked,28,15,28;11,5.18182,Not Ranked,35,12,27;15,5.43333,Not Ranked,42,12,26;
13617;War! Blitzkrieg & Bombers;2006;2;6;0;12;0;0;0;0;0;0;5;3;;;;;1015,1019;;;;3;;772;0,0,Not Ranked,0,2,7;0,0,Not Ranked,0,2,7;0,0,Not Ranked,0,2,7;0,0,Not Ranked,0,2,7;0,0,Not Ranked,0,2,6;
13709;Clash of Giants II;2006;1;2;300;12;237;7.2884;1.15124;621;14;27;69;118;1:0,2:7,-1:0;1:5,2:0,-1:1;1:0,2:0,-1:3;2:0,3:0,4:0,5:0,6:0,8:0,10:0,12:0,14:3,16:0,18:0,-1:0;1019,1065;2046,2057,2026;5666,8164;;484;71,11929,140;52;2,8.5,Not Ranked,3,1,5;2,8.5,Not Ranked,3,1,5;2,8.5,Not Ranked,3,2,6;2,8.5,Not Ranked,3,2,6;2,8.5,Not Ranked,3,2,7;
14105;Commands & Colors: Ancients;2006;2;2;60;12;5509;7.85249;1.41649;6915;189;565;1900;2070;1:2,2:103,-1:3;1:27,2:7,-1:17;1:45,2:0,-1:41;2:1,3:0,4:0,5:0,6:1,8:3,10:17,12:25,14:3,16:0,18:0,-1:1;1050,1019;2018,2072,2040,2011;50,9769,10640,5606;;25;71;52,8759;428,8.4245,10,659,151,301;472,8.37698,11,720,171,330;549,8.30289,11,798,184,351;605,8.26989,11,860,199,385;665,8.24637,10,926,212,400;
14808;Marvel Heroes;2006;2;4;120;12;2054;6.44213;1.59965;2649;156;161;432;790;1:0,2:7,3:15,4:22,-1:0;1:3,2:20,3:16,4:11,-1:0;1:16,2:7,3:2,4:7,-1:18;2:0,3:0,4:0,5:0,6:0,8:0,10:4,12:6,14:2,16:0,18:0,-1:0;1116,1046,1047;2001,2072,2040,2078,2004,2015;5338,17935;;3247,934,935,4562;35209,20670,11872,12236,40078;157,2366,17,264,6214,504;0,0,Not Ranked,2,74,180;0,0,Not Ranked,3,80,226;0,0,Not Ranked,2,96,265;4,8.25,Not Ranked,3,110,316;5,8.4,Not Ranked,4,121,343;
14991;Elementalis;2006;2;4;30;8;42;5.10119;1.84882;102;19;3;15;31;1:0,2:0,3:0,4:2,-1:0;1:0,2:1,3:2,4:0,-1:0;1:1,2:1,3:0,4:0,-1:1;2:0,3:0,4:0,5:0,6:0,8:1,10:0,12:0,14:0,16:0,18:0,-1:0;1017;2072;;;28012,4614;4659;3399;0,0,Not Ranked,1,3,1;0,0,Not Ranked,1,4,2;0,0,Not Ranked,1,4,2;0,0,Not Ranked,1,4,2;0,0,Not Ranked,1,5,3;
15954;Conquest of Paradise;2007;2;4;90;12;805;6.79226;1.37123;1342;84;91;295;431;1:0,2:1,3:8,4:17,-1:0;1:1,2:13,3:11,4:4,-1:0;1:12,2:5,3:2,4:2,-1:10;2:0,3:0,4:0,5:0,6:0,8:1,10:1,12:3,14:0,16:0,18:0,-1:0;1050,1015,1020,1008;2080,2081,2016,2070,2002;12210,18319;;2772;71,11929;52,9367;13,7.81538,Not Ranked,7,63,201;13,7.81538,Not Ranked,8,65,207;15,7.63333,Not Ranked,11,62,217;15,7.63333,Not Ranked,11,64,234;18,7.63889,Not Ranked,14,68,248;
16325;Strike Them a Blow;2006;2;4;600;12;30;7.6;1.3;241;4;12;21;22;1:0,2:0,3:0,4:0,-1:0;1:0,2:0,3:0,4:0,-1:0;1:0,2:0,3:0,4:0,-1:0;;1048,1017,1019;2072,2026,2070;119;;406,4910;11857,406;196;0,0,Not Ranked,1,0,1;0,0,Not Ranked,1,0,1;0,0,Not Ranked,1,0,1;0,0,Not Ranked,1,0,1;0,0,Not Ranked,1,1,2;
